No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,CH Scan List,Receive Group List,TX Prohibit,Reverse,Simplex TDMA,TDMA Adaptive,Encryption Type,Digital Encryption,Call Confirmation,Talk Around,Work Alone,Custom CTCSS,2TONE Decode,Ranging,Through Mode,APRS Report,APRS Report Channel
31,DB0BRV-TS1,438.46250,430.86250,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
32,DB0BS-TS1,439.97500,430.57500,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
33,DB0BUX-TS1,438.58750,430.98750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
34,DB0BVO-TS1,438.40000,430.80000,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
35,DB0CF-TS1,438.91250,431.31250,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
36,DB0CGN-TS1,438.78750,431.18750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
37,DB0CHV-TS1,438.27500,430.67500,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
38,DB0CJ-TS1,439.43750,431.83750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
39,DB0CRA-TS1,438.53750,430.93750,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
40,DB0CWS-TS1,439.50000,431.90000,D-Digital,Turbo,12.5K,Off,Off,TG232 OE,Group Call,232,OE1JTB,Always,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,Off,Off,Off,1
